iter	RMSE
0	3850.26754
1	3719.441344
2	3594.563666
3	3475.369302
4	3361.633708
5	3253.156705
6	3149.905699
7	3051.212124
8	2951.15216
9	2853.266959
10	2760.272836
11	2670.379003
12	2585.749361
13	2503.791641
14	2425.654632
15	2351.526757
16	2280.789372
17	2212.30214
18	2147.086669
19	2083.98665
20	2024.333123
21	1967.691346
22	1908.231515
23	1851.165169
24	1797.276048
25	1744.192951
26	1693.72639
27	1646.227087
28	1600.930374
29	1558.113221
30	1515.16781
31	1475.091799
32	1436.558725
33	1400.511286
34	1366.177202
35	1333.963519
36	1302.946767
37	1272.992426
38	1243.913428
39	1215.731722
40	1189.499115
41	1164.883299
42	1141.321312
43	1116.197016
44	1092.798107
45	1069.968963
46	1048.170276
47	1028.065827
48	1008.756329
49	990.8349009
50	973.431523
51	957.174607
52	941.4853883
53	926.0774674
54	911.5572679
55	898.2225366
56	885.4331958
57	873.6678106
58	862.090047
59	850.3881081
60	839.8481815
61	828.3812251
62	817.2690115
63	807.4751097
64	797.6857213
65	788.031666
66	779.1140348
67	770.7970514
68	762.8931394
69	755.2512187
70	747.667147
71	740.9092967
72	734.2776879
73	728.2891713
74	722.0769084
75	716.4737627
76	711.5936432
77	706.2707728
78	701.4885503
79	696.1134997
80	692.0397541
81	687.2262849
82	683.0314178
83	679.2116159
84	674.8051814
85	671.2204641
86	667.5169773
87	664.3121997
88	660.8753202
89	657.4463285
90	654.8561606
91	652.2479968
92	649.1014198
93	646.115585
94	643.7200928
95	641.2449954
96	639.2812467
97	636.7794604
98	634.5797195
99	632.8860891
100	631.1600739
101	629.2266099
102	627.6874307
103	626.2904237
104	624.3839265
105	623.1309836
106	621.762092
107	619.8052144
108	618.401402
109	617.0231396
110	616.093552
111	615.0956079
112	613.7257116
113	611.6313516
114	610.7887132
115	609.8620404
116	608.6198811
117	607.0548213
118	605.7432677
119	604.6905674
120	603.4128598
121	602.6609639
122	601.5866509
123	600.3901038
124	599.6066023
125	598.3144934
126	597.5543491
127	595.8872906
128	594.7565242
129	593.7931934
130	592.3227564
131	591.4740874
132	590.186417
133	589.5927798
134	588.7819108
135	588.3029238
136	587.8465097
137	587.2150493
138	586.7216979
139	585.8875385
140	584.7838315
141	583.9389291
142	583.1353708
143	582.4326588
144	581.6382328
145	580.9711062
146	580.2589732
147	579.8504444
148	578.682113
149	578.0467555
150	577.3412845
151	576.7410157
152	576.1473843
153	575.7058851
154	575.1999715
155	574.8100007
156	574.1760069
157	573.7110317
158	573.0687515
159	572.6075624
160	572.1683822
161	571.7349476
162	571.0115274
163	570.2250459
164	569.8637461
165	569.3330407
166	568.7875454
167	567.9366412
168	567.4222879
169	566.8509445
170	566.3477242
171	566.0242422
172	565.742712
173	565.2040981
174	564.9176096
175	564.2085448
176	563.7505966
177	563.5426572
178	563.1433529
179	562.9060649
180	562.4115877
181	561.9748314
182	561.7259869
183	561.3693195
184	560.9996019
185	560.7704618
186	560.3495072
187	559.9674799
188	559.456832
189	558.9899318
190	558.6641096
191	558.0301073
192	557.6713223
193	557.0979028
194	556.9619453
195	556.2997475
196	555.8004744
197	555.39719
198	555.0831386
199	554.7344857
200	554.4916543
201	553.8141645
202	553.2679257
203	552.8877182
204	552.6320252
205	552.0756294
206	551.9134414
207	551.4056977
208	550.9554845
209	550.626088
210	550.2735221
211	549.9753215
212	549.5898495
213	549.3479914
214	549.0904819
215	548.8222687
216	548.2026863
217	547.9332683
218	547.4472616
219	547.3627848
220	547.1176381
221	546.8550962
222	546.682514
223	546.258015
224	545.9234833
225	545.792592
226	545.3693574
227	545.0620438
228	544.9473292
229	544.6832642
230	544.3153415
231	544.0932652
232	543.7012837
233	543.439573
234	543.3378677
235	543.1801202
236	542.7982879
237	542.5436879
238	542.3459442
239	542.0378491
240	541.9886492
241	541.7773949
242	541.6976941
243	541.4420453
244	541.2043656
245	541.0286707
246	540.6262031
247	540.3746298
248	540.0016781
249	539.794903
250	539.5784114
251	539.2769041
252	538.9617267
253	538.6961063
254	538.5820086
255	538.2661953
256	537.9788848
257	537.7674561
258	537.4887794
259	537.3735084
260	537.0243052
261	536.7963852
262	536.6558617
263	536.5502187
264	536.42723
265	536.1056091
266	535.783159
267	535.6842634
268	535.4377877
269	535.1700673
270	535.0447537
271	534.943376
272	534.7317609
273	534.4461156
274	534.3377056
275	534.1503632
276	533.9957318
277	533.8094816
278	533.6934617
279	533.6325934
280	533.4209988
281	533.2139186
282	533.1016628
283	533.0312627
284	532.9961403
285	532.8910504
286	532.8630264
287	532.6532285
288	532.6445889
289	532.5921244
290	532.3071148
291	532.2106835
292	532.10539
293	531.9984787
294	531.6141237
295	531.4774338
296	531.4125615
297	531.3007118
298	531.0151115
299	530.9393309
300	530.8062714
301	530.5414044
302	530.464569
303	530.3873231
304	530.1170514
305	529.7292479
306	529.4673109
307	529.4369078
308	529.2691927
309	529.0973869
310	529.0955871
311	528.9901834
312	528.9879784
313	528.8804648
314	528.7414338
315	528.7016821
316	528.6116261
317	528.5167856
318	528.4930177
319	528.2467944
320	528.1038786
321	527.8998842
322	527.8087238
323	527.4350223
324	527.19372
325	526.9418597
326	526.9094788
327	526.6881014
328	526.5974355
329	526.5471261
330	526.3313266
331	526.1965757
332	526.1707622
333	526.0656127
334	525.9478778
335	525.7945203
336	525.7869462
337	525.7431452
338	525.5101777
339	525.5037994
340	525.4821366
341	525.4738834
342	525.3474304
343	525.2739291
344	525.2606878
345	525.1858566
346	525.0841784
347	524.7271675
348	524.6271746
349	524.4645458
350	524.2512726
351	524.0403895
352	524.0075602
353	523.8969948
354	523.6266626
355	523.5646977
356	523.4888609
357	523.1355018
358	522.9723525
359	522.6316362
360	522.5491172
361	522.4554732
362	522.3410335
363	522.1812487
364	522.0836406
365	521.897191
366	521.5530802
367	521.4147849
368	521.1703868
369	520.9318437
370	520.7075656
371	520.6281898
372	520.6247234
373	520.5080925
374	520.5042404
375	520.317926
376	520.1909862
377	519.9937945
378	519.8007212
379	519.7156451
380	519.6341571
381	519.6097985
382	519.5999929
383	519.4036196
384	519.2396153
385	519.1290452
386	519.1253933
387	518.8267057
388	518.7209244
389	518.6488665
390	518.539506
391	518.4781031
392	518.4754138
393	518.3174728
394	518.3127968
395	518.3008321
396	518.1298371
397	517.811036
398	517.7040591
399	517.7015635
400	517.4887759
401	517.4871686
402	517.2833335
403	517.249679
404	517.2245688
405	517.157003
406	516.8161428
407	516.8130523
408	516.7672441
409	516.533223
410	516.4206895
411	516.2577201
412	516.1974341
413	516.1861453
414	515.8457563
415	515.7521168
416	515.5457641
417	515.342293
418	515.1819269
419	515.110864
420	515.0038633
421	514.8470323
422	514.7458831
423	514.5491011
424	514.4794792
425	514.2555333
426	514.2317596
427	514.1398979
428	514.1368637
429	514.0181811
430	513.8959729
431	513.7688111
432	513.7586049
433	513.6294659
434	513.6202908
435	513.6015239
436	513.4456529
437	513.4443273
438	513.4299428
439	513.4077319
440	513.2687413
441	513.1350755
442	513.1000204
443	512.9340169
444	512.7023222
445	512.6906645
446	512.6737294
447	512.6540713
448	512.5226319
449	512.3809967
450	512.1102389
451	512.0156582
452	511.9976526
453	511.9791657
454	511.7889213
455	511.5575808
456	511.5434533
457	511.3318867
458	511.1939485
459	511.0761625
460	510.9991171
461	510.8872758
462	510.7529721
463	510.7449626
464	510.515638
465	510.463171
466	510.321182
467	510.3134866
468	510.2458068
469	510.2264977
470	509.8959485
471	509.7460626
472	509.6195159
473	509.4267505
474	509.3678398
475	509.291667
476	509.2412982
477	509.2341851
478	509.1379954
479	509.0052229
480	508.9187418
481	508.9027912
482	508.8459548
483	508.5627616
484	508.3996449
485	508.0490359
486	507.9737965
487	507.911302
488	507.6513844
489	507.3805296
490	507.3706201
491	507.2569136
492	507.2513753
493	506.9715538
494	506.9697778
495	506.8241716
496	506.6771547
497	506.6302182
498	506.3772513
499	506.2022577
