iter	Passed	Remaining
0	78	39018
1	113	28302
2	135	22375
3	158	19649
4	179	17743
5	200	16509
6	221	15625
7	241	14841
8	261	14254
9	277	13615
10	296	13160
11	313	12755
12	329	12331
13	344	11962
14	359	11626
15	376	11392
16	393	11175
17	409	10966
18	426	10800
19	447	10738
20	467	10658
21	484	10520
22	503	10438
23	520	10316
24	537	10217
25	555	10124
26	572	10036
27	592	9987
28	609	9891
29	625	9798
30	642	9723
31	658	9627
32	676	9573
33	699	9592
34	723	9613
35	749	9658
36	780	9765
37	801	9744
38	817	9665
39	834	9600
40	850	9522
41	867	9458
42	883	9392
43	902	9351
44	918	9283
45	934	9222
46	950	9159
47	964	9084
48	979	9016
49	996	8965
50	1010	8894
51	1027	8848
52	1041	8779
53	1055	8717
54	1071	8667
55	1090	8645
56	1105	8592
57	1121	8542
58	1135	8485
59	1147	8418
60	1164	8378
61	1181	8344
62	1194	8287
63	1208	8234
64	1223	8187
65	1236	8132
66	1253	8099
67	1268	8058
68	1294	8083
69	1311	8054
70	1330	8039
71	1350	8028
72	1368	8005
73	1394	8025
74	1410	7990
75	1426	7957
76	1441	7917
77	1456	7881
78	1473	7852
79	1486	7805
80	1503	7775
81	1516	7730
82	1531	7692
83	1547	7665
84	1561	7622
85	1576	7591
86	1591	7555
87	1607	7525
88	1620	7483
89	1634	7445
90	1649	7412
91	1664	7380
92	1681	7358
93	1698	7335
94	1712	7300
95	1728	7275
96	1744	7246
97	1766	7246
98	1798	7284
99	1813	7255
100	1831	7236
101	1853	7230
102	1883	7259
103	1905	7254
104	1923	7237
105	1941	7215
106	1962	7206
107	1978	7179
108	1995	7157
109	2012	7135
110	2028	7108
111	2044	7081
112	2061	7058
113	2079	7039
114	2098	7024
115	2117	7008
116	2148	7032
117	2181	7061
118	2204	7058
119	2234	7077
120	2254	7061
121	2272	7040
122	2290	7019
123	2304	6986
124	2320	6962
125	2343	6956
126	2361	6934
127	2375	6903
128	2389	6872
129	2406	6849
130	2425	6831
131	2443	6812
132	2459	6786
133	2476	6763
134	2492	6738
135	2509	6715
136	2524	6688
137	2540	6663
138	2556	6640
139	2576	6625
140	2590	6595
141	2606	6570
142	2619	6540
143	2635	6514
144	2649	6486
145	2666	6464
146	2683	6444
147	2699	6420
148	2714	6393
149	2730	6370
150	2745	6346
151	2760	6319
152	2777	6298
153	2795	6279
154	2814	6263
155	2836	6254
156	2851	6230
157	2870	6213
158	2886	6189
159	2900	6163
160	2916	6140
161	2932	6118
162	2949	6097
163	2964	6073
164	2979	6048
165	2993	6022
166	3010	6003
167	3029	5985
168	3051	5975
169	3067	5954
170	3088	5942
171	3102	5916
172	3118	5894
173	3134	5873
174	3151	5853
175	3164	5826
176	3178	5800
177	3196	5781
178	3212	5760
179	3228	5738
180	3245	5719
181	3263	5702
182	3278	5679
183	3297	5663
184	3314	5643
185	3331	5624
186	3349	5606
187	3366	5586
188	3386	5571
189	3405	5555
190	3422	5537
191	3440	5519
192	3459	5502
193	3479	5488
194	3493	5463
195	3511	5446
196	3528	5426
197	3543	5404
198	3558	5382
199	3578	5367
200	3593	5345
201	3623	5345
202	3644	5331
203	3658	5308
204	3674	5287
205	3689	5266
206	3708	5249
207	3725	5230
208	3744	5213
209	3760	5193
210	3776	5172
211	3793	5153
212	3810	5134
213	3825	5111
214	3842	5093
215	3873	5093
216	3895	5080
217	3917	5067
218	3959	5080
219	4007	5100
220	4034	5092
221	4065	5090
222	4090	5080
223	4114	5069
224	4146	5067
225	4169	5054
226	4202	5054
227	4236	5053
228	4268	5051
229	4298	5045
230	4336	5049
231	4381	5061
232	4423	5069
233	4457	5067
234	4476	5047
235	4503	5037
236	4531	5028
237	4557	5017
238	4581	5002
239	4608	4992
240	4636	4982
241	4666	4975
242	4695	4966
243	4725	4958
244	4755	4949
245	4785	4941
246	4809	4926
247	4835	4913
248	4854	4893
249	4872	4872
250	4889	4850
251	4904	4826
252	4919	4802
253	4935	4780
254	4950	4756
255	4968	4735
256	4980	4709
257	4993	4683
258	5012	4663
259	5029	4642
260	5044	4619
261	5060	4596
262	5075	4573
263	5092	4552
264	5108	4530
265	5127	4510
266	5144	4489
267	5160	4467
268	5176	4444
269	5193	4424
270	5212	4404
271	5225	4380
272	5241	4357
273	5260	4338
274	5274	4315
275	5287	4291
276	5302	4269
277	5321	4249
278	5338	4228
279	5353	4206
280	5372	4186
281	5388	4165
282	5401	4142
283	5418	4121
284	5436	4101
285	5459	4084
286	5474	4062
287	5491	4042
288	5506	4020
289	5523	3999
290	5539	3978
291	5554	3956
292	5569	3935
293	5583	3912
294	5600	3892
295	5618	3872
296	5634	3850
297	5649	3829
298	5665	3808
299	5684	3789
300	5700	3768
301	5724	3753
302	5739	3731
303	5754	3710
304	5776	3693
305	5795	3674
306	5811	3653
307	5826	3632
308	5845	3613
309	5860	3591
310	5867	3565
311	5878	3542
312	5885	3516
313	5902	3496
314	5921	3477
315	5934	3455
316	5950	3435
317	5965	3414
318	5979	3392
319	5996	3373
320	6013	3353
321	6029	3333
322	6047	3313
323	6064	3294
324	6078	3272
325	6094	3253
326	6107	3231
327	6122	3210
328	6137	3189
329	6149	3167
330	6162	3146
331	6178	3126
332	6195	3107
333	6212	3087
334	6229	3068
335	6247	3049
336	6261	3028
337	6276	3008
338	6290	2987
339	6307	2968
340	6320	2947
341	6335	2926
342	6356	2909
343	6374	2890
344	6392	2871
345	6408	2852
346	6425	2832
347	6443	2814
348	6455	2793
349	6475	2775
350	6489	2755
351	6507	2735
352	6524	2716
353	6539	2697
354	6562	2680
355	6585	2663
356	6612	2648
357	6635	2632
358	6660	2615
359	6693	2603
360	6708	2582
361	6725	2564
362	6745	2545
363	6762	2526
364	6783	2509
365	6804	2491
366	6815	2469
367	6837	2452
368	6852	2432
369	6869	2413
370	6887	2394
371	6904	2375
372	6925	2357
373	6946	2340
374	6957	2319
375	6977	2301
376	6999	2283
377	7018	2265
378	7037	2246
379	7053	2227
380	7067	2207
381	7081	2187
382	7093	2167
383	7114	2149
384	7133	2130
385	7152	2112
386	7164	2092
387	7180	2072
388	7196	2053
389	7211	2033
390	7225	2014
391	7239	1994
392	7245	1972
393	7258	1952
394	7272	1933
395	7280	1911
396	7293	1892
397	7310	1873
398	7331	1855
399	7341	1835
400	7357	1816
401	7365	1795
402	7386	1777
403	7404	1759
404	7423	1741
405	7442	1723
406	7462	1705
407	7472	1684
408	7490	1666
409	7509	1648
410	7529	1630
411	7550	1612
412	7568	1594
413	7581	1574
414	7603	1557
415	7620	1538
416	7636	1519
417	7651	1501
418	7668	1482
419	7684	1463
420	7699	1444
421	7715	1426
422	7731	1407
423	7745	1388
424	7762	1369
425	7779	1351
426	7795	1332
427	7812	1314
428	7826	1295
429	7845	1277
430	7859	1258
431	7877	1240
432	7893	1221
433	7914	1203
434	7922	1183
435	7935	1164
436	7952	1146
437	7960	1126
438	7975	1108
439	7987	1089
440	8007	1071
441	8025	1053
442	8041	1034
443	8059	1016
444	8077	998
445	8095	980
446	8108	961
447	8125	943
448	8138	924
449	8161	906
450	8179	888
451	8195	870
452	8209	851
453	8223	833
454	8242	815
455	8260	797
456	8273	778
457	8291	760
458	8309	742
459	8324	723
460	8341	705
461	8358	687
462	8377	669
463	8389	650
464	8406	632
465	8422	614
466	8440	596
467	8453	578
468	8469	559
469	8481	541
470	8497	523
471	8520	505
472	8543	487
473	8569	470
474	8586	451
475	8603	433
476	8625	415
477	8654	398
478	8687	380
479	8718	363
480	8748	345
481	8774	327
482	8814	310
483	8853	292
484	8887	274
485	8904	256
486	8921	238
487	8936	219
488	8954	201
489	8975	183
490	8988	164
491	9005	146
492	9022	128
493	9041	109
494	9049	91
495	9067	73
496	9081	54
497	9099	36
498	9117	18
499	9132	0
